% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    51        8        2     0.44197877E+02  0.43918630E+02  0.50000000E+00  0.27924754E+00  0.55849508E+00  0.60000000E+08     1
    32    15    52        7        2     0.40048731E+02  0.40376437E+02  0.50000000E+00 -0.32770620E+00 -0.65541240E+00  0.60000000E+08     1
    32    15    53        7        2     0.35219954E+02  0.36129785E+02  0.50000000E+00 -0.90983035E+00 -0.18196607E+01  0.60000000E+08     1
    32    15    54        7        2     0.30378182E+02  0.31150589E+02  0.50000000E+00 -0.77240693E+00 -0.15448139E+01  0.60000000E+08     1
    32    15    55        7        2     0.25566238E+02  0.26234622E+02  0.50000000E+00 -0.66838415E+00 -0.13367683E+01  0.60000000E+08     1
    32    15    56        7        2     0.20829052E+02  0.21462407E+02  0.50000000E+00 -0.63335477E+00 -0.12667095E+01  0.60000000E+08     1
    32    15    57        7        2     0.16251959E+02  0.17040457E+02  0.50000000E+00 -0.78849781E+00 -0.15769956E+01  0.60000000E+08     1
    79    23    31       12        2     0.11175696E+03  0.11190129E+03  0.50000000E+00 -0.14433283E+00 -0.28866566E+00  0.60000000E+08     1
    79    23    32       12        2     0.10828444E+03  0.10831165E+03  0.50000000E+00 -0.27213577E-01 -0.54427154E-01  0.60000000E+08     1
    79    23    33       12        2     0.10483213E+03  0.10473877E+03  0.50000000E+00  0.93356561E-01  0.18671312E+00  0.60000000E+08     1
    79    23    34       12        2     0.10140124E+03  0.10118208E+03  0.50000000E+00  0.21915459E+00  0.43830918E+00  0.60000000E+08     1
    79    23    35       12        2     0.97993362E+02  0.97640698E+02  0.50000000E+00  0.35266421E+00  0.70532841E+00  0.60000000E+08     1
    79    23    36       12        2     0.94610766E+02  0.94113242E+02  0.50000000E+00  0.49752448E+00  0.99504896E+00  0.60000000E+08     1
