,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
52,8992.84279,9200,-280.714195,0.40792447259220155,0.5405099565636574,0.5405312918787025,0.20491686449794386,1.0000125475391098e-12,0.9787793820093978,11.82463242,90.0,1.0,Unconformity,Detachement,9,7,0.01
53,10613.43103,9200,-537.857055,0.43639747276001634,0.5405099565636574,0.5360134084859831,0.11233855738814562,1.0000068787527362e-12,0.9936699897481871,6.450140786,90.0,1.0,Unconformity,Detachement,9,7,0.01
54,12660.48985,9200,-687.857055,0.4723633675423867,0.5405099565636574,0.5333779765361794,0.04481769070275754,1.000002744292073e-12,0.9989951824719474,2.568724949,90.0,1.0,Unconformity,Detachement,9,7,0.01
55,14934.99966,9200,-805.714195,0.5123254730318271,0.5405099565636574,0.5313072800543894,0.05939714928593723,1.0000036370264375e-12,0.9982344307119542,3.40521025,90.0,1.0,Unconformity,Detachement,9,7,0.01
56,20791.8624,9200,-1159.28563,0.6152278943025679,0.5405099565636574,0.5250951903454764,0.0838925051196728,1.0000051369343934e-12,0.996474810312286,4.812342613,90.0,1.0,Unconformity,Detachement,9,7,0.01
57,24345.78397,9200,-1405.714195,0.6776686839870658,0.5405099565636574,0.5207655522551744,0.1088603595371428,1.000006665774543e-12,0.9940570517448432,6.2496244679999995,90.0,1.0,Unconformity,Detachement,9,7,0.01
11,5069.313375,4600,147.85723000000002,0.33898984075029615,0.4596900434363425,0.5480610973868221,0.3892093147235814,1.0000238321970737e-12,0.9211493414941037,22.905309600000002,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
12,7059.509454999999,4600,-377.14277000000004,0.37395668298767065,0.4596900434363425,0.5388370855625089,0.12131798444844166,1.0000074285840666e-12,0.9926136945718589,6.9681733029999995,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
13,8879.1173,4600,-902.1427699999999,0.4059263673265143,0.4596900434363425,0.5296130737381958,0.4588473060424303,1.0000280962942321e-12,0.888515137597722,27.31275125,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
14,10300.68593,4600,-1727.14277,0.43090268323545255,0.4596900434363425,0.5151181980142752,0.5481515862382618,1.0000335646042766e-12,0.8363790041047459,33.24029625,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
15,15532.058480000002,4600,-1844.9999149999999,0.5228155256327612,0.4596900434363425,0.5130475014446375,-0.24823527783786845,9.999543999192339e-13,0.9686997712594946,14.37310956,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
16,17749.70554,4600,-548.5713450000001,0.5617785784015102,0.4596900434363425,0.5358251632714134,-0.5945696548868661,9.998907793262907e-13,0.8040441066808038,36.48195985,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
44,5069.313375,9200,147.85723000000002,0.33898984075029615,0.5405099565636574,0.5480610973868221,0.3892093147235814,1.0000238321970737e-12,0.9211493414941037,22.905309600000002,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
45,7059.509454999999,9200,-377.14277000000004,0.37395668298767065,0.5405099565636574,0.5388370855625089,0.12131798444844166,1.0000074285840666e-12,0.9926136945718589,6.9681733029999995,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
