,X,Y,Z,X_c,Y_c,Z_c,surface,series,id,order_series,smooth
50,21644.80357,4600,115.71437,0.6302136837073744,0.4596900434363425,0.5474963619188082,Tertiary,Post_tectonic_series,6,6,2e-06
51,24203.6271,4600,-334.28562999999997,0.6751710522731852,0.4596900434363425,0.539590066069397,Tertiary,Post_tectonic_series,6,6,2e-06
52,26591.8624,4600,-569.99991,0.7171312630283128,0.4596900434363425,0.5354486731058171,Tertiary,Post_tectonic_series,6,6,2e-06
53,28468.33299,4600,-848.5713400000001,0.7501,0.4596900434363425,0.5305542994596536,Tertiary,Post_tectonic_series,6,6,2e-06
125,21644.80357,9200,115.71437,0.6302136837073744,0.5405099565636574,0.5474963619188082,Tertiary,Post_tectonic_series,6,6,2e-06
126,24203.6271,9200,-334.28562999999997,0.6751710522731852,0.5405099565636574,0.539590066069397,Tertiary,Post_tectonic_series,6,6,2e-06
127,26591.8624,9200,-569.99991,0.7171312630283128,0.5405099565636574,0.5354486731058171,Tertiary,Post_tectonic_series,6,6,2e-06
128,28468.33299,9200,-848.5713400000001,0.7501,0.5405099565636574,0.5305542994596536,Tertiary,Post_tectonic_series,6,6,2e-06
61,9883.67326,4600,148.34344,0.4235759598088461,0.4596900434363425,0.5480696398759441,Pink,Post_tectonic_series,7,6,2e-06
62,13678.39114,4600,-190.51198,0.4902474314184697,0.4596900434363425,0.5421161038743963,Pink,Post_tectonic_series,7,6,2e-06
63,16498.31912,4600,-280.87343,0.5397922867160534,0.4596900434363425,0.5405284941919923,Pink,Post_tectonic_series,7,6,2e-06
64,17681.99365,4600,487.19885999999997,0.5605889112129263,0.4596900434363425,0.554023175877492,Pink,Post_tectonic_series,7,6,2e-06
65,19178.99245,4600,-213.10234,0.586890500988512,0.4596900434363425,0.5417192014977192,Pink,Post_tectonic_series,7,6,2e-06
66,20049.34059,4600,216.11452999999997,0.6021821229592338,0.4596900434363425,0.5492603471816709,Pink,Post_tectonic_series,7,6,2e-06
67,25375.8712,4600,-1026.35535,0.6957668493005781,0.4596900434363425,0.5274307150588654,Pink,Post_tectonic_series,7,6,2e-06
136,9883.67326,9200,148.34344,0.4235759598088461,0.5405099565636574,0.5480696398759441,Pink,Post_tectonic_series,7,6,2e-06
137,13678.39114,9200,-190.51198,0.4902474314184697,0.5405099565636574,0.5421161038743963,Pink,Post_tectonic_series,7,6,2e-06
138,16498.31912,9200,-280.87343,0.5397922867160534,0.5405099565636574,0.5405284941919923,Pink,Post_tectonic_series,7,6,2e-06
139,17681.99365,9200,487.19885999999997,0.5605889112129263,0.5405099565636574,0.554023175877492,Pink,Post_tectonic_series,7,6,2e-06
140,19178.99245,9200,-213.10234,0.586890500988512,0.5405099565636574,0.5417192014977192,Pink,Post_tectonic_series,7,6,2e-06
141,20049.34059,9200,216.11452999999997,0.6021821229592338,0.5405099565636574,0.5492603471816709,Pink,Post_tectonic_series,7,6,2e-06
142,25375.8712,9200,-1026.35535,0.6957668493005781,0.5405099565636574,0.5274307150588654,Pink,Post_tectonic_series,7,6,2e-06
54,9709.60363,4600,-122.74089,0.42051763537956266,0.4596900434363425,0.5433068111801231,Orange,Post_tectonic_series,8,6,2e-06
55,13678.39114,4600,-461.59632,0.4902474314184697,0.4596900434363425,0.5373532750028799,Orange,Post_tectonic_series,8,6,2e-06
56,16602.76089,4600,-551.95776,0.541627281233067,0.4596900434363425,0.5357656654961714,Orange,Post_tectonic_series,8,6,2e-06
57,17473.10903,4600,329.06633,0.5569189032037888,0.4596900434363425,0.5512448590650566,Orange,Post_tectonic_series,8,6,2e-06
58,19178.99245,4600,-461.59632,0.586890500988512,0.4596900434363425,0.5373532750028799,Orange,Post_tectonic_series,8,6,2e-06
